r,n_asleep,n_awake,n_honest_asleep,n_honest_dreamy,n_honest_awake,n_adversary,n_all,party0_ledger_best_length,party0_ledger_best_age,party0_ledger_fast_length,party0_ledger_fast_age,party0_ledger_slow_length,party0_ledger_slow_age,party0_comms_all_size,party0_comms_all_count,party0_comms_proposal_size,party0_comms_proposal_count,party0_comms_piece_block_size,party0_comms_piece_block_count,party0_comms_piece_vote_size,party0_comms_piece_vote_count,party1_ledger_best_length,party1_ledger_best_age,party1_ledger_fast_length,party1_ledger_fast_age,party1_ledger_slow_length,party1_ledger_slow_age,party1_comms_all_size,party1_comms_all_count,party1_comms_proposal_size,party1_comms_proposal_count,party1_comms_piece_block_size,party1_comms_piece_block_count,party1_comms_piece_vote_size,party1_comms_piece_vote_count,party2_ledger_best_length,party2_ledger_best_age,party2_ledger_fast_length,party2_ledger_fast_age,party2_ledger_slow_length,party2_ledger_slow_age,party2_comms_all_size,party2_comms_all_count,party2_comms_proposal_size,party2_comms_proposal_count,party2_comms_piece_block_size,party2_comms_piece_block_count,party2_comms_piece_vote_size,party2_comms_piece_vote_count,party3_ledger_best_length,party3_ledger_best_age,party3_ledger_fast_length,party3_ledger_fast_age,party3_ledger_slow_length,party3_ledger_slow_age,party3_comms_all_size,party3_comms_all_count,party3_comms_proposal_size,party3_comms_proposal_count,party3_comms_piece_block_size,party3_comms_piece_block_count,party3_comms_piece_vote_size,party3_comms_piece_vote_count,party4_ledger_best_length,party4_ledger_best_age,party4_ledger_fast_length,party4_ledger_fast_age,party4_ledger_slow_length,party4_ledger_slow_age,party4_comms_all_size,party4_comms_all_count,party4_comms_proposal_size,party4_comms_proposal_count,party4_comms_piece_block_size,party4_comms_piece_block_count,party4_comms_piece_vote_size,party4_comms_piece_vote_count,partyALWAYSAWAKE_ledger_best_length,partyALWAYSAWAKE_ledger_best_age,partyALWAYSAWAKE_ledger_fast_length,partyALWAYSAWAKE_ledger_fast_age,partyALWAYSAWAKE_ledger_slow_length,partyALWAYSAWAKE_ledger_slow_age,partyALWAYSAWAKE_comms_all_size,partyALWAYSAWAKE_comms_all_count,partyALWAYSAWAKE_comms_proposal_size,partyALWAYSAWAKE_comms_proposal_count,partyALWAYSAWAKE_comms_piece_block_size,partyALWAYSAWAKE_comms_piece_block_count,partyALWAYSAWAKE_comms_piece_vote_size,partyALWAYSAWAKE_comms_piece_vote_count
116,20,80,20,0,80,0,100,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0
117,21,79,21,0,79,0,100,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0
118,22,78,22,0,78,0,100,1,9,1,9,1,9,1904,7,0,0,0,0,1904,7,1,9,1,9,1,9,1904,7,0,0,0,0,1904,7,1,9,1,9,1,9,1904,7,0,0,0,0,1904,7,1,9,1,9,1,9,1904,7,0,0,0,0,1904,7,1,9,1,9,1,9,1904,7,0,0,0,0,1904,7,1,9,1,9,1,9,1904,7,0,0,0,0,1904,7
119,21,79,21,0,79,0,100,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0
120,20,80,20,1,79,0,100,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0
121,21,79,21,1,78,0,100,1,9,1,9,1,9,80662,1,80662,1,0,0,0,0,1,9,1,9,1,9,80662,1,80662,1,0,0,0,0,1,9,1,9,1,9,80662,1,80662,1,0,0,0,0,1,9,1,9,1,9,80662,1,80662,1,0,0,0,0,1,9,1,9,1,9,80662,1,80662,1,0,0,0,0,1,9,1,9,1,9,80662,1,80662,1,0,0,0,0
122,20,80,20,2,78,0,100,1,9,1,9,1,9,80834,3,0,0,80290,1,544,2,1,9,1,9,1,9,80834,3,0,0,80290,1,544,2,1,9,1,9,1,9,80834,3,0,0,80290,1,544,2,1,9,1,9,1,9,80834,3,0,0,80290,1,544,2,1,9,1,9,1,9,80834,3,0,0,80290,1,544,2,1,9,1,9,1,9,80834,3,0,0,80290,1,544,2
123,19,81,19,0,81,0,100,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0
124,18,82,18,1,81,0,100,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0
125,17,83,17,2,81,0,100,1,9,1,9,1,9,80502,1,80502,1,0,0,0,0,1,9,1,9,1,9,80502,1,80502,1,0,0,0,0,1,9,1,9,1,9,80502,1,80502,1,0,0,0,0,1,9,1,9,1,9,80502,1,80502,1,0,0,0,0,1,9,1,9,1,9,80502,1,80502,1,0,0,0,0,1,9,1,9,1,9,80502,1,80502,1,0,0,0,0
126,16,84,16,3,81,0,100,3,31,3,31,1,9,82738,10,0,0,80290,1,2448,9,1,9,1,9,1,9,82738,10,0,0,80290,1,2448,9,3,31,3,31,1,9,82738,10,0,0,80290,1,2448,9,3,31,3,31,1,9,82738,10,0,0,80290,1,2448,9,3,31,3,31,1,9,82738,10,0,0,80290,1,2448,9,3,31,3,31,1,9,82738,10,0,0,80290,1,2448,9
127,15,85,15,0,85,0,100,3,31,3,31,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0
128,14,86,14,1,85,0,100,3,31,3,31,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0
129,15,85,15,1,84,0,100,3,31,3,31,1,9,0,0,0,0,0,0,0,0,1,9,1,9,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0
130,16,84,16,1,83,0,100,3,31,3,31,1,9,3264,12,0,0,0,0,3264,12,3,31,3,31,1,9,3264,12,0,0,0,0,3264,12,3,31,3,31,1,9,3264,12,0,0,0,0,3264,12,3,31,3,31,1,9,3264,12,0,0,0,0,3264,12,3,31,3,31,1,9,3264,12,0,0,0,0,3264,12,3,31,3,31,1,9,3264,12,0,0,0,0,3264,12
131,17,83,17,0,83,0,100,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0
132,16,84,16,1,83,0,100,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0,3,31,3,31,1,9,0,0,0,0,0,0,0,0
133,15,85,15,2,83,0,100,3,31,3,31,1,9,80822,1,80822,1,0,0,0,0,3,31,3,31,1,9,80822,1,80822,1,0,0,0,0,3,31,3,31,1,9,80822,1,80822,1,0,0,0,0,3,31,3,31,1,9,80822,1,80822,1,0,0,0,0,3,31,3,31,1,9,80822,1,80822,1,0,0,0,0,3,31,3,31,1,9,80822,1,80822,1,0,0,0,0
134,16,84,16,2,82,0,100,4,33,4,33,1,9,83282,12,0,0,80290,1,2992,11,4,33,4,33,1,9,83282,12,0,0,80290,1,2992,11,4,33,4,33,1,9,83282,12,0,0,80290,1,2992,11,4,33,4,33,1,9,83282,12,0,0,80290,1,2992,11,4,33,4,33,1,9,83282,12,0,0,80290,1,2992,11,4,33,4,33,1,9,83282,12,0,0,80290,1,2992,11
