r,n_asleep,n_awake,n_honest_asleep,n_honest_dreamy,n_honest_awake,n_adversary,n_all,party0_ledger_best_length,party0_ledger_best_age,party0_ledger_fast_length,party0_ledger_fast_age,party0_ledger_slow_length,party0_ledger_slow_age,party0_comms_all_size,party0_comms_all_count,party0_comms_proposal_size,party0_comms_proposal_count,party0_comms_piece_block_size,party0_comms_piece_block_count,party0_comms_piece_vote_size,party0_comms_piece_vote_count,party1_ledger_best_length,party1_ledger_best_age,party1_ledger_fast_length,party1_ledger_fast_age,party1_ledger_slow_length,party1_ledger_slow_age,party1_comms_all_size,party1_comms_all_count,party1_comms_proposal_size,party1_comms_proposal_count,party1_comms_piece_block_size,party1_comms_piece_block_count,party1_comms_piece_vote_size,party1_comms_piece_vote_count,party2_ledger_best_length,party2_ledger_best_age,party2_ledger_fast_length,party2_ledger_fast_age,party2_ledger_slow_length,party2_ledger_slow_age,party2_comms_all_size,party2_comms_all_count,party2_comms_proposal_size,party2_comms_proposal_count,party2_comms_piece_block_size,party2_comms_piece_block_count,party2_comms_piece_vote_size,party2_comms_piece_vote_count,party3_ledger_best_length,party3_ledger_best_age,party3_ledger_fast_length,party3_ledger_fast_age,party3_ledger_slow_length,party3_ledger_slow_age,party3_comms_all_size,party3_comms_all_count,party3_comms_proposal_size,party3_comms_proposal_count,party3_comms_piece_block_size,party3_comms_piece_block_count,party3_comms_piece_vote_size,party3_comms_piece_vote_count,party4_ledger_best_length,party4_ledger_best_age,party4_ledger_fast_length,party4_ledger_fast_age,party4_ledger_slow_length,party4_ledger_slow_age,party4_comms_all_size,party4_comms_all_count,party4_comms_proposal_size,party4_comms_proposal_count,party4_comms_piece_block_size,party4_comms_piece_block_count,party4_comms_piece_vote_size,party4_comms_piece_vote_count,partyALWAYSAWAKE_ledger_best_length,partyALWAYSAWAKE_ledger_best_age,partyALWAYSAWAKE_ledger_fast_length,partyALWAYSAWAKE_ledger_fast_age,partyALWAYSAWAKE_ledger_slow_length,partyALWAYSAWAKE_ledger_slow_age,partyALWAYSAWAKE_comms_all_size,partyALWAYSAWAKE_comms_all_count,partyALWAYSAWAKE_comms_proposal_size,partyALWAYSAWAKE_comms_proposal_count,partyALWAYSAWAKE_comms_piece_block_size,partyALWAYSAWAKE_comms_piece_block_count,partyALWAYSAWAKE_comms_piece_vote_size,partyALWAYSAWAKE_comms_piece_vote_count
4,0,1000,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1000,0,0,1000,0,1000,0,0,0,0,0,0,160874,2,160874,2,0,0,0,0,0,0,0,0,0,0,160874,2,160874,2,0,0,0,0,0,0,0,0,0,0,160874,2,160874,2,0,0,0,0,0,0,0,0,0,0,160874,2,160874,2,0,0,0,0,0,0,0,0,0,0,160874,2,160874,2,0,0,0,0,0,0,0,0,0,0,160874,2,160874,2,0,0,0,0
6,0,1000,0,0,1000,0,1000,1,1,1,1,0,0,106402,97,0,0,80290,1,26112,96,1,1,1,1,0,0,106402,97,0,0,80290,1,26112,96,1,1,1,1,0,0,106402,97,0,0,80290,1,26112,96,1,1,1,1,0,0,106402,97,0,0,80290,1,26112,96,1,1,1,1,0,0,106402,97,0,0,80290,1,26112,96,1,1,1,1,0,0,106402,97,0,0,80290,1,26112,96
7,0,1000,0,0,1000,0,1000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
8,0,1000,0,0,1000,0,1000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
9,0,1000,0,0,1000,0,1000,1,1,1,1,0,0,83508,1,83508,1,0,0,0,0,1,1,1,1,0,0,83508,1,83508,1,0,0,0,0,1,1,1,1,0,0,83508,1,83508,1,0,0,0,0,1,1,1,1,0,0,83508,1,83508,1,0,0,0,0,1,1,1,1,0,0,83508,1,83508,1,0,0,0,0,1,1,1,1,0,0,83508,1,83508,1,0,0,0,0
10,0,1000,0,0,1000,0,1000,2,2,2,2,0,0,105040,92,0,0,80288,1,24752,91,2,2,2,2,0,0,105040,92,0,0,80288,1,24752,91,2,2,2,2,0,0,105040,92,0,0,80288,1,24752,91,2,2,2,2,0,0,105040,92,0,0,80288,1,24752,91,2,2,2,2,0,0,105040,92,0,0,80288,1,24752,91,2,2,2,2,0,0,105040,92,0,0,80288,1,24752,91
11,0,1000,0,0,1000,0,1000,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0
12,0,1000,0,0,1000,0,1000,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0
13,0,1000,0,0,1000,0,1000,2,2,2,2,0,0,83350,1,83350,1,0,0,0,0,2,2,2,2,0,0,83350,1,83350,1,0,0,0,0,2,2,2,2,0,0,83350,1,83350,1,0,0,0,0,2,2,2,2,0,0,83350,1,83350,1,0,0,0,0,2,2,2,2,0,0,83350,1,83350,1,0,0,0,0,2,2,2,2,0,0,83350,1,83350,1,0,0,0,0
14,0,1000,0,0,1000,0,1000,3,3,3,3,0,0,104770,91,0,0,80290,1,24480,90,3,3,3,3,0,0,104770,91,0,0,80290,1,24480,90,3,3,3,3,0,0,104770,91,0,0,80290,1,24480,90,3,3,3,3,0,0,104770,91,0,0,80290,1,24480,90,3,3,3,3,0,0,104770,91,0,0,80290,1,24480,90,3,3,3,3,0,0,104770,91,0,0,80290,1,24480,90
15,0,1000,0,0,1000,0,1000,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0
16,0,1000,0,0,1000,0,1000,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0
17,0,1000,0,0,1000,0,1000,3,3,3,3,0,0,166635,2,166635,2,0,0,0,0,3,3,3,3,0,0,166635,2,166635,2,0,0,0,0,3,3,3,3,0,0,166635,2,166635,2,0,0,0,0,3,3,3,3,0,0,166635,2,166635,2,0,0,0,0,3,3,3,3,0,0,166635,2,166635,2,0,0,0,0,3,3,3,3,0,0,166635,2,166635,2,0,0,0,0
18,0,1000,0,0,1000,0,1000,4,4,4,4,0,0,103410,86,0,0,80290,1,23120,85,4,4,4,4,0,0,103410,86,0,0,80290,1,23120,85,4,4,4,4,0,0,103410,86,0,0,80290,1,23120,85,4,4,4,4,0,0,103410,86,0,0,80290,1,23120,85,4,4,4,4,0,0,103410,86,0,0,80290,1,23120,85,4,4,4,4,0,0,103410,86,0,0,80290,1,23120,85
19,0,1000,0,0,1000,0,1000,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0
20,0,1000,0,0,1000,0,1000,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0
21,0,1000,0,0,1000,0,1000,4,4,4,4,0,0,83158,1,83158,1,0,0,0,0,4,4,4,4,0,0,83158,1,83158,1,0,0,0,0,4,4,4,4,0,0,83158,1,83158,1,0,0,0,0,4,4,4,4,0,0,83158,1,83158,1,0,0,0,0,4,4,4,4,0,0,83158,1,83158,1,0,0,0,0,4,4,4,4,0,0,83158,1,83158,1,0,0,0,0
22,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,108578,105,0,0,80290,1,28288,104,5,5,5,5,0,0,108578,105,0,0,80290,1,28288,104,5,5,5,5,0,0,108578,105,0,0,80290,1,28288,104,5,5,5,5,0,0,108578,105,0,0,80290,1,28288,104,5,5,5,5,0,0,108578,105,0,0,80290,1,28288,104,5,5,5,5,0,0,108578,105,0,0,80290,1,28288,104
23,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0
24,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0
25,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0
26,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,23392,86,0,0,0,0,23392,86,5,5,5,5,0,0,23392,86,0,0,0,0,23392,86,5,5,5,5,0,0,23392,86,0,0,0,0,23392,86,5,5,5,5,0,0,23392,86,0,0,0,0,23392,86,5,5,5,5,0,0,23392,86,0,0,0,0,23392,86,5,5,5,5,0,0,23392,86,0,0,0,0,23392,86
27,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0
28,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0
29,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0
30,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,22032,81,0,0,0,0,22032,81,5,5,5,5,0,0,22032,81,0,0,0,0,22032,81,5,5,5,5,0,0,22032,81,0,0,0,0,22032,81,5,5,5,5,0,0,22032,81,0,0,0,0,22032,81,5,5,5,5,0,0,22032,81,0,0,0,0,22032,81,5,5,5,5,0,0,22032,81,0,0,0,0,22032,81
31,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0
32,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0
33,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,83030,1,83030,1,0,0,0,0,5,5,5,5,0,0,83030,1,83030,1,0,0,0,0,5,5,5,5,0,0,83030,1,83030,1,0,0,0,0,5,5,5,5,0,0,83030,1,83030,1,0,0,0,0,5,5,5,5,0,0,83030,1,83030,1,0,0,0,0,5,5,5,5,0,0,83030,1,83030,1,0,0,0,0
34,0,1000,0,0,1000,0,1000,6,8,6,8,0,0,107762,102,0,0,80290,1,27472,101,6,8,6,8,0,0,107762,102,0,0,80290,1,27472,101,6,8,6,8,0,0,107762,102,0,0,80290,1,27472,101,6,8,6,8,0,0,107762,102,0,0,80290,1,27472,101,6,8,6,8,0,0,107762,102,0,0,80290,1,27472,101,6,8,6,8,0,0,107762,102,0,0,80290,1,27472,101
35,0,1000,0,0,1000,0,1000,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0
36,0,1000,0,0,1000,0,1000,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0
37,0,1000,0,0,1000,0,1000,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0
38,0,1000,0,0,1000,0,1000,6,8,6,8,0,0,28016,103,0,0,0,0,28016,103,6,8,6,8,0,0,28016,103,0,0,0,0,28016,103,6,8,6,8,0,0,28016,103,0,0,0,0,28016,103,6,8,6,8,0,0,28016,103,0,0,0,0,28016,103,6,8,6,8,0,0,28016,103,0,0,0,0,28016,103,6,8,6,8,0,0,28016,103,0,0,0,0,28016,103
39,0,1000,0,0,1000,0,1000,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0
40,0,1000,0,0,1000,0,1000,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,0,0
41,0,1000,0,0,1000,0,1000,6,8,6,8,0,0,167470,2,167470,2,0,0,0,0,6,8,6,8,0,0,167470,2,167470,2,0,0,0,0,6,8,6,8,0,0,167470,2,167470,2,0,0,0,0,6,8,6,8,0,0,167470,2,167470,2,0,0,0,0,6,8,6,8,0,0,167470,2,167470,2,0,0,0,0,6,8,6,8,0,0,167470,2,167470,2,0,0,0,0
42,0,1000,0,0,1000,0,1000,7,10,7,10,0,0,110755,113,0,0,80291,1,30464,112,7,10,7,10,0,0,110755,113,0,0,80291,1,30464,112,7,10,7,10,0,0,110755,113,0,0,80291,1,30464,112,7,10,7,10,0,0,110755,113,0,0,80291,1,30464,112,7,10,7,10,0,0,110755,113,0,0,80291,1,30464,112,7,10,7,10,0,0,110755,113,0,0,80291,1,30464,112
43,0,1000,0,0,1000,0,1000,7,10,7,10,0,0,0,0,0,0,0,0,0,0,7,10,7,10,0,0,0,0,0,0,0,0,0,0,7,10,7,10,0,0,0,0,0,0,0,0,0,0,7,10,7,10,0,0,0,0,0,0,0,0,0,0,7,10,7,10,0,0,0,0,0,0,0,0,0,0,7,10,7,10,0,0,0,0,0,0,0,0,0,0
44,0,1000,0,0,1000,0,1000,7,10,7,10,0,0,0,0,0,0,0,0,0,0,7,10,7,10,0,0,0,0,0,0,0,0,0,0,7,10,7,10,0,0,0,0,0,0,0,0,0,0,7,10,7,10,0,0,0,0,0,0,0,0,0,0,7,10,7,10,0,0,0,0,0,0,0,0,0,0,7,10,7,10,0,0,0,0,0,0,0,0,0,0
45,0,1000,0,0,1000,0,1000,7,10,7,10,0,0,84023,1,84023,1,0,0,0,0,7,10,7,10,0,0,84023,1,84023,1,0,0,0,0,7,10,7,10,0,0,84023,1,84023,1,0,0,0,0,7,10,7,10,0,0,84023,1,84023,1,0,0,0,0,7,10,7,10,0,0,84023,1,84023,1,0,0,0,0,7,10,7,10,0,0,84023,1,84023,1,0,0,0,0
46,0,1000,0,0,1000,0,1000,8,11,8,11,0,0,106403,97,0,0,80291,1,26112,96,8,11,8,11,0,0,106403,97,0,0,80291,1,26112,96,8,11,8,11,0,0,106403,97,0,0,80291,1,26112,96,8,11,8,11,0,0,106403,97,0,0,80291,1,26112,96,8,11,8,11,0,0,106403,97,0,0,80291,1,26112,96,8,11,8,11,0,0,106403,97,0,0,80291,1,26112,96
47,0,1000,0,0,1000,0,1000,8,11,8,11,1,1,0,0,0,0,0,0,0,0,8,11,8,11,1,1,0,0,0,0,0,0,0,0,8,11,8,11,1,1,0,0,0,0,0,0,0,0,8,11,8,11,1,1,0,0,0,0,0,0,0,0,8,11,8,11,1,1,0,0,0,0,0,0,0,0,8,11,8,11,1,1,0,0,0,0,0,0,0,0
48,0,1000,0,0,1000,0,1000,8,11,8,11,1,1,0,0,0,0,0,0,0,0,8,11,8,11,1,1,0,0,0,0,0,0,0,0,8,11,8,11,1,1,0,0,0,0,0,0,0,0,8,11,8,11,1,1,0,0,0,0,0,0,0,0,8,11,8,11,1,1,0,0,0,0,0,0,0,0,8,11,8,11,1,1,0,0,0,0,0,0,0,0
49,0,1000,0,0,1000,0,1000,8,11,8,11,1,1,0,0,0,0,0,0,0,0,8,11,8,11,1,1,0,0,0,0,0,0,0,0,8,11,8,11,1,1,0,0,0,0,0,0,0,0,8,11,8,11,1,1,0,0,0,0,0,0,0,0,8,11,8,11,1,1,0,0,0,0,0,0,0,0,8,11,8,11,1,1,0,0,0,0,0,0,0,0
50,0,1000,0,0,1000,0,1000,8,11,8,11,1,1,23120,85,0,0,0,0,23120,85,8,11,8,11,1,1,23120,85,0,0,0,0,23120,85,8,11,8,11,1,1,23120,85,0,0,0,0,23120,85,8,11,8,11,1,1,23120,85,0,0,0,0,23120,85,8,11,8,11,1,1,23120,85,0,0,0,0,23120,85,8,11,8,11,1,1,23120,85,0,0,0,0,23120,85
51,0,1000,0,0,1000,0,1000,8,11,8,11,2,2,0,0,0,0,0,0,0,0,8,11,8,11,2,2,0,0,0,0,0,0,0,0,8,11,8,11,2,2,0,0,0,0,0,0,0,0,8,11,8,11,2,2,0,0,0,0,0,0,0,0,8,11,8,11,2,2,0,0,0,0,0,0,0,0,8,11,8,11,2,2,0,0,0,0,0,0,0,0
52,0,1000,0,0,1000,0,1000,8,11,8,11,2,2,0,0,0,0,0,0,0,0,8,11,8,11,2,2,0,0,0,0,0,0,0,0,8,11,8,11,2,2,0,0,0,0,0,0,0,0,8,11,8,11,2,2,0,0,0,0,0,0,0,0,8,11,8,11,2,2,0,0,0,0,0,0,0,0,8,11,8,11,2,2,0,0,0,0,0,0,0,0
