r,n_asleep,n_awake,n_honest_asleep,n_honest_dreamy,n_honest_awake,n_adversary,n_all,party0_ledger_best_length,party0_ledger_best_age,party0_ledger_fast_length,party0_ledger_fast_age,party0_ledger_slow_length,party0_ledger_slow_age,party0_comms_all_size,party0_comms_all_count,party0_comms_proposal_size,party0_comms_proposal_count,party0_comms_piece_block_size,party0_comms_piece_block_count,party0_comms_piece_vote_size,party0_comms_piece_vote_count,party1_ledger_best_length,party1_ledger_best_age,party1_ledger_fast_length,party1_ledger_fast_age,party1_ledger_slow_length,party1_ledger_slow_age,party1_comms_all_size,party1_comms_all_count,party1_comms_proposal_size,party1_comms_proposal_count,party1_comms_piece_block_size,party1_comms_piece_block_count,party1_comms_piece_vote_size,party1_comms_piece_vote_count,party2_ledger_best_length,party2_ledger_best_age,party2_ledger_fast_length,party2_ledger_fast_age,party2_ledger_slow_length,party2_ledger_slow_age,party2_comms_all_size,party2_comms_all_count,party2_comms_proposal_size,party2_comms_proposal_count,party2_comms_piece_block_size,party2_comms_piece_block_count,party2_comms_piece_vote_size,party2_comms_piece_vote_count,party3_ledger_best_length,party3_ledger_best_age,party3_ledger_fast_length,party3_ledger_fast_age,party3_ledger_slow_length,party3_ledger_slow_age,party3_comms_all_size,party3_comms_all_count,party3_comms_proposal_size,party3_comms_proposal_count,party3_comms_piece_block_size,party3_comms_piece_block_count,party3_comms_piece_vote_size,party3_comms_piece_vote_count,party4_ledger_best_length,party4_ledger_best_age,party4_ledger_fast_length,party4_ledger_fast_age,party4_ledger_slow_length,party4_ledger_slow_age,party4_comms_all_size,party4_comms_all_count,party4_comms_proposal_size,party4_comms_proposal_count,party4_comms_piece_block_size,party4_comms_piece_block_count,party4_comms_piece_vote_size,party4_comms_piece_vote_count,partyALWAYSAWAKE_ledger_best_length,partyALWAYSAWAKE_ledger_best_age,partyALWAYSAWAKE_ledger_fast_length,partyALWAYSAWAKE_ledger_fast_age,partyALWAYSAWAKE_ledger_slow_length,partyALWAYSAWAKE_ledger_slow_age,partyALWAYSAWAKE_comms_all_size,partyALWAYSAWAKE_comms_all_count,partyALWAYSAWAKE_comms_proposal_size,partyALWAYSAWAKE_comms_proposal_count,partyALWAYSAWAKE_comms_piece_block_size,partyALWAYSAWAKE_comms_piece_block_count,partyALWAYSAWAKE_comms_piece_vote_size,partyALWAYSAWAKE_comms_piece_vote_count
4,0,1000,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1000,0,0,1000,0,1000,0,0,0,0,0,0,563066,7,563066,7,0,0,0,0,0,0,0,0,0,0,563066,7,563066,7,0,0,0,0,0,0,0,0,0,0,563066,7,563066,7,0,0,0,0,0,0,0,0,0,0,563066,7,563066,7,0,0,0,0,0,0,0,0,0,0,563066,7,563066,7,0,0,0,0,0,0,0,0,0,0,563066,7,563066,7,0,0,0,0
6,0,1000,0,0,1000,0,1000,1,1,1,1,0,0,102594,83,0,0,80290,1,22304,82,1,1,1,1,0,0,102594,83,0,0,80290,1,22304,82,1,1,1,1,0,0,102594,83,0,0,80290,1,22304,82,1,1,1,1,0,0,102594,83,0,0,80290,1,22304,82,1,1,1,1,0,0,102594,83,0,0,80290,1,22304,82,1,1,1,1,0,0,102594,83,0,0,80290,1,22304,82
7,0,1000,0,0,1000,0,1000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
8,0,1000,0,0,1000,0,1000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
9,0,1000,0,0,1000,0,1000,1,1,1,1,0,0,913678,11,913678,11,0,0,0,0,1,1,1,1,0,0,913678,11,913678,11,0,0,0,0,1,1,1,1,0,0,913678,11,913678,11,0,0,0,0,1,1,1,1,0,0,913678,11,913678,11,0,0,0,0,1,1,1,1,0,0,913678,11,913678,11,0,0,0,0,1,1,1,1,0,0,913678,11,913678,11,0,0,0,0
10,0,1000,0,0,1000,0,1000,2,2,2,2,0,0,111298,115,0,0,80290,1,31008,114,2,2,2,2,0,0,111298,115,0,0,80290,1,31008,114,2,2,2,2,0,0,111298,115,0,0,80290,1,31008,114,2,2,2,2,0,0,111298,115,0,0,80290,1,31008,114,2,2,2,2,0,0,111298,115,0,0,80290,1,31008,114,2,2,2,2,0,0,111298,115,0,0,80290,1,31008,114
11,0,1000,0,0,1000,0,1000,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0
12,0,1000,0,0,1000,0,1000,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0
13,0,1000,0,0,1000,0,1000,2,2,2,2,0,0,504516,6,504516,6,0,0,0,0,2,2,2,2,0,0,504516,6,504516,6,0,0,0,0,2,2,2,2,0,0,504516,6,504516,6,0,0,0,0,2,2,2,2,0,0,504516,6,504516,6,0,0,0,0,2,2,2,2,0,0,504516,6,504516,6,0,0,0,0,2,2,2,2,0,0,504516,6,504516,6,0,0,0,0
14,0,1000,0,0,1000,0,1000,3,3,3,3,0,0,107762,102,0,0,80290,1,27472,101,3,3,3,3,0,0,107762,102,0,0,80290,1,27472,101,3,3,3,3,0,0,107762,102,0,0,80290,1,27472,101,3,3,3,3,0,0,107762,102,0,0,80290,1,27472,101,3,3,3,3,0,0,107762,102,0,0,80290,1,27472,101,3,3,3,3,0,0,107762,102,0,0,80290,1,27472,101
15,0,1000,0,0,1000,0,1000,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0
16,0,1000,0,0,1000,0,1000,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0
17,0,1000,0,0,1000,0,1000,3,3,3,3,0,0,669360,8,669360,8,0,0,0,0,3,3,3,3,0,0,669360,8,669360,8,0,0,0,0,3,3,3,3,0,0,669360,8,669360,8,0,0,0,0,3,3,3,3,0,0,669360,8,669360,8,0,0,0,0,3,3,3,3,0,0,669360,8,669360,8,0,0,0,0,3,3,3,3,0,0,669360,8,669360,8,0,0,0,0
18,0,1000,0,0,1000,0,1000,4,4,4,4,0,0,111026,114,0,0,80290,1,30736,113,4,4,4,4,0,0,111026,114,0,0,80290,1,30736,113,4,4,4,4,0,0,111026,114,0,0,80290,1,30736,113,4,4,4,4,0,0,111026,114,0,0,80290,1,30736,113,4,4,4,4,0,0,111026,114,0,0,80290,1,30736,113,4,4,4,4,0,0,111026,114,0,0,80290,1,30736,113
19,0,1000,0,0,1000,0,1000,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0
20,0,1000,0,0,1000,0,1000,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0
21,0,1000,0,0,1000,0,1000,4,4,4,4,0,0,1008645,12,1008645,12,0,0,0,0,4,4,4,4,0,0,1008645,12,1008645,12,0,0,0,0,4,4,4,4,0,0,1008645,12,1008645,12,0,0,0,0,4,4,4,4,0,0,1008645,12,1008645,12,0,0,0,0,4,4,4,4,0,0,1008645,12,1008645,12,0,0,0,0,4,4,4,4,0,0,1008645,12,1008645,12,0,0,0,0
22,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,108306,104,0,0,80290,1,28016,103,5,5,5,5,0,0,108306,104,0,0,80290,1,28016,103,5,5,5,5,0,0,108306,104,0,0,80290,1,28016,103,5,5,5,5,0,0,108306,104,0,0,80290,1,28016,103,5,5,5,5,0,0,108306,104,0,0,80290,1,28016,103,5,5,5,5,0,0,108306,104,0,0,80290,1,28016,103
23,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0
24,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0
25,0,1000,0,0,1000,0,1000,5,5,5,5,0,0,1004808,12,1004808,12,0,0,0,0,5,5,5,5,0,0,1004808,12,1004808,12,0,0,0,0,5,5,5,5,0,0,1004808,12,1004808,12,0,0,0,0,5,5,5,5,0,0,1004808,12,1004808,12,0,0,0,0,5,5,5,5,0,0,1004808,12,1004808,12,0,0,0,0,5,5,5,5,0,0,1004808,12,1004808,12,0,0,0,0
26,0,1000,0,0,1000,0,1000,6,6,6,6,0,0,105314,93,0,0,80290,1,25024,92,6,6,6,6,0,0,105314,93,0,0,80290,1,25024,92,6,6,6,6,0,0,105314,93,0,0,80290,1,25024,92,6,6,6,6,0,0,105314,93,0,0,80290,1,25024,92,6,6,6,6,0,0,105314,93,0,0,80290,1,25024,92,6,6,6,6,0,0,105314,93,0,0,80290,1,25024,92
27,0,1000,0,0,1000,0,1000,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0
28,0,1000,0,0,1000,0,1000,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0
29,0,1000,0,0,1000,0,1000,6,6,6,6,0,0,667055,8,667055,8,0,0,0,0,6,6,6,6,0,0,667055,8,667055,8,0,0,0,0,6,6,6,6,0,0,667055,8,667055,8,0,0,0,0,6,6,6,6,0,0,667055,8,667055,8,0,0,0,0,6,6,6,6,0,0,667055,8,667055,8,0,0,0,0,6,6,6,6,0,0,667055,8,667055,8,0,0,0,0
30,0,1000,0,0,1000,0,1000,7,7,7,7,0,0,108306,104,0,0,80290,1,28016,103,7,7,7,7,0,0,108306,104,0,0,80290,1,28016,103,7,7,7,7,0,0,108306,104,0,0,80290,1,28016,103,7,7,7,7,0,0,108306,104,0,0,80290,1,28016,103,7,7,7,7,0,0,108306,104,0,0,80290,1,28016,103,7,7,7,7,0,0,108306,104,0,0,80290,1,28016,103
31,0,1000,0,0,1000,0,1000,7,7,7,7,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0
32,0,1000,0,0,1000,0,1000,7,7,7,7,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0
